OrderID,Date,Product,Region,Customer,Quantity,UnitPrice,Sales
1516,2024-01-01,Standing Desk,West,Customer O,4,1142.44,4569.76
1213,2024-01-02,Noise Cancelling Headphones,South,Customer O,1,1177.47,1178.26
1060,2024-01-02,Noise Cancelling Headphones,North,Customer E,5,730.5,3657.38
1171,2024-01-02,Desk Lamp,West,Customer O,5,1002.88,5024.45
1577,2024-01-05,USB-C Hub,West,Customer E,2,439.92,882.19
1111,2024-01-05,Noise Cancelling Headphones,North,Customer N,8,525.72,4219.8
1336,2024-01-05,Noise Cancelling Headphones,West,Customer C,7,852.77,5993.31
1555,2024-01-09,Noise Cancelling Headphones,East,Customer D,2,128.05,257.3
1474,2024-01-10,Wireless Mouse,North,Customer N,4,700.28,2816.08
1219,2024-01-10,Desk Lamp,West,Customer E,4,255.82,1029.43
1574,2024-01-11,Desk Lamp,West,Customer E,4,948.25,3818.33
1407,2024-01-14,Desk Lamp,North,Customer M,7,626.3,4416.3
1550,2024-01-14,Noise Cancelling Headphones,West,Customer E,9,766.72,6955.78
1045,2024-01-16,Standing Desk,East,Customer E,1,482.57,486.76
1083,2024-01-18,Webcam HD,South,Customer H,4,157.86,637.34
1117,2024-01-18,Webcam HD,South,Customer E,9,830.76,7551.73
1390,2024-01-19,Wireless Mouse,East,Customer F,5,270.65,1367.71
1272,2024-01-20,4K Monitor,North,Customer I,6,120.0,728.17
1295,2024-01-21,4K Monitor,West,Customer N,4,347.99,1408.69
1440,2024-01-22,USB-C Hub,West,Customer B,2,427.49,865.83
1314,2024-01-24,Laptop Pro,South,Customer F,5,100.05,506.93
1006,2024-01-25,Wireless Mouse,East,Customer B,3,766.41,2331.47
1040,2024-01-25,Laptop Pro,North,Customer A,1,599.85,608.66
1026,2024-01-26,Laptop Pro,West,Customer B,9,143.01,1306.86
1254,2024-01-26,Laptop Pro,North,Customer E,5,264.69,1344.66
1382,2024-01-27,Desk Lamp,North,Customer H,3,924.57,2820.02
1597,2024-01-27,Wireless Mouse,West,Customer J,7,433.36,3086.19
1456,2024-01-30,Wireless Mouse,North,Customer C,3,307.23,938.31
1261,2024-02-01,USB-C Hub,South,Customer G,4,31.96,130.23
1137,2024-02-02,USB-C Hub,East,Customer F,6,552.99,3382.19
1100,2024-02-02,USB-C Hub,West,Customer A,9,835.6,7671.06
1486,2024-02-04,Office Chair,East,Customer M,7,853.65,6099.25
1103,2024-02-08,Mechanical Keyboard,East,Customer C,9,341.33,3137.61
1250,2024-02-08,USB-C Hub,West,Customer J,3,369.78,1133.79
1055,2024-02-11,Noise Cancelling Headphones,East,Customer A,3,16.85,51.7
1411,2024-02-11,Office Chair,South,Customer B,8,464.23,3800.64
1129,2024-02-12,Laptop Pro,East,Customer B,2,99.98,204.77
1313,2024-02-12,USB-C Hub,South,Customer K,7,755.37,5418.23
1430,2024-02-13,Webcam HD,North,Customer F,4,163.78,671.74
1217,2024-02-13,Mechanical Keyboard,East,Customer F,6,459.77,2830.46
1281,2024-02-13,Mechanical Keyboard,North,Customer G,7,1138.01,8178.85
1255,2024-02-15,USB-C Hub,West,Customer O,4,1149.58,4724.22
1463,2024-02-16,4K Monitor,East,Customer D,2,945.45,1943.93
1507,2024-02-16,Noise Cancelling Headphones,East,Customer O,7,262.88,1893.0
1307,2024-02-16,Standing Desk,South,Customer A,9,782.66,7250.91
1081,2024-02-18,Wireless Mouse,South,Customer K,1,1050.33,1081.89
1562,2024-02-18,Desk Lamp,East,Customer E,3,486.44,1504.15
1099,2024-02-18,4K Monitor,West,Customer I,7,1017.04,7342.72
1465,2024-02-19,USB-C Hub,West,Customer J,3,660.21,2044.12
1403,2024-02-21,USB-C Hub,North,Customer D,2,355.58,734.43
1277,2024-02-24,Office Chair,West,,4,93.22,385.33
1340,2024-02-26,Webcam HD,West,Customer G,2,307.49,635.92
1539,2024-02-26,4K Monitor,North,Customer N,5,774.13,4005.06
1370,2024-02-26,Desk Lamp,North,Customer H,6,941.46,5848.68
1104,2024-02-27,Laptop Pro,West,Customer L,2,377.98,783.22
1270,2024-02-28,Standing Desk,West,Customer K,6,1017.42,6328.73
1322,2024-03-01,USB-C Hub,West,Customer L,9,184.31,1720.82
1178,2024-03-04,Mechanical Keyboard,West,Customer B,3,335.24,1044.0
1076,2024-03-04,Noise Cancelling Headphones,West,Customer M,9,718.49,6716.86
1334,2024-03-04,Mechanical Keyboard,North,Customer M,2,70.52,146.6
1331,2024-03-05,Wireless Mouse,East,Customer C,1,391.34,407.02
1226,2024-03-05,Wireless Mouse,West,Customer J,2,1177.18,2450.26
1345,2024-03-10,Noise Cancelling Headphones,East,Customer C,5,335.42,1746.54
1527,2024-03-10,4K Monitor,West,Customer M,3,240.28,751.17
1351,2024-03-10,Wireless Mouse,West,Customer F,2,1093.28,2280.01
1512,2024-03-10,Office Chair,West,Customer B,5,1026.74,5356.53
1030,2024-03-11,Mechanical Keyboard,North,Customer O,1,622.51,649.95
1436,2024-03-15,Webcam HD,West,Customer O,1,35.8,37.4
1586,2024-03-16,Office Chair,East,Customer O,4,57.68,241.2
1089,2024-03-16,Mechanical Keyboard,East,Customer O,5,515.11,2694.22
1084,2024-03-18,Wireless Mouse,East,Customer N,9,1084.41,10215.9
1580,2024-03-18,Laptop Pro,South,Customer B,8,242.04,2028.13
1369,2024-03-23,Office Chair,North,Customer L,5,139.86,732.92
1453,2024-03-23,Desk Lamp,West,Customer I,8,373.96,3137.52
1499,2024-03-25,Noise Cancelling Headphones,West,Customer L,1,340.52,357.35
1005,2024-03-27,Noise Cancelling Headphones,North,Customer H,1,614.93,645.73
1475,2024-03-29,Standing Desk,South,Customer A,2,189.15,397.5
1418,2024-03-31,4K Monitor,North,Customer D,5,644.16,3386.41
1445,2024-04-01,Desk Lamp,East,Customer J,6,1169.42,7381.99
1363,2024-04-01,Laptop Pro,East,Customer N,4,804.67,3388.48
1531,2024-04-06,Laptop Pro,North,Customer I,7,1152.76,8500.4
1057,2024-04-07,Mechanical Keyboard,West,Customer I,1,75.6,79.69
1169,2024-04-07,Standing Desk,West,Customer K,9,656.92,6236.02
1600,2024-04-09,Office Chair,West,Customer E,3,1072.68,3396.4
1133,2024-04-13,Wireless Mouse,South,Customer D,2,732.85,1547.92
1366,2024-04-13,Wireless Mouse,West,Customer G,6,1141.67,7238.84
1012,2024-04-16,USB-C Hub,West,Customer F,4,180.93,765.28
1558,2024-04-18,Wireless Mouse,South,Customer F,9,584.85,5569.45
1412,2024-04-18,Office Chair,North,Customer K,6,414.75,2634.74
1505,2024-04-19,Desk Lamp,East,Customer M,1,211.41,223.97
1320,2024-04-20,Laptop Pro,West,Customer L,5,669.71,3549.8
1050,2024-04-20,Laptop Pro,West,Customer B,9,735.37,7020.51
1371,2024-04-23,Mechanical Keyboard,North,Customer D,4,778.32,3304.55
1353,2024-04-25,Wireless Mouse,South,Customer J,7,1157.43,8605.17
1123,2024-04-25,USB-C Hub,West,Customer E,7,424.86,3160.7
1428,2024-04-25,Wireless Mouse,East,Customer K,5,632.74,3364.4
1237,2024-04-29,Mechanical Keyboard,West,Customer E,7,1073.31,7994.82
1590,2024-04-29,Laptop Pro,East,Customer J,3,1141.29,3645.65
1426,2024-04-29,Wireless Mouse,South,Customer C,7,932.18,6952.29
1280,2024-04-29,USB-C Hub,West,Customer C,6,972.76,6222.42
1221,2024-04-29,USB-C Hub,North,,4,473.05,2018.56
1287,2024-04-29,Mechanical Keyboard,South,Customer M,6,608.24,3895.58
1454,2024-04-29,Desk Lamp,North,Customer O,2,92.85,198.35
1108,2024-04-29,Laptop Pro,North,Customer C,5,989.57,5288.17
1014,2024-04-30,USB-C Hub,North,Customer O,4,1166.27,4989.07
1384,2024-04-30,Office Chair,West,Customer L,7,989.28,7410.52
1337,2024-05-04,4K Monitor,West,Customer F,6,89.29,573.66
1001,2024-05-04,Wireless Mouse,West,Customer B,5,787.89,4220.93
1231,2024-05-05,Office Chair,South,Customer J,1,1147.92,1230.71
1303,2024-05-05,Noise Cancelling Headphones,North,Customer N,8,773.96,6642.36
1589,2024-05-06,USB-C Hub,East,Customer G,5,349.74,1877.15
1343,2024-05-07,Wireless Mouse,South,Customer F,2,135.74,291.6
1063,2024-05-07,Laptop Pro,East,Customer I,4,469.85,2019.96
1004,2024-05-09,Standing Desk,South,Customer G,4,896.16,3855.13
1464,2024-05-11,Wireless Mouse,South,Customer B,9,1189.72,11522.61
1234,2024-05-15,Laptop Pro,South,Customer A,4,1026.94,4423.21
1160,2024-05-16,Wireless Mouse,East,Customer F,7,1181.06,8907.83
1170,2024-05-16,Mechanical Keyboard,West,Customer M,2,917.85,1979.12
1168,2024-05-16,Laptop Pro,South,,1,671.15,724.04
1414,2024-05-18,Noise Cancelling Headphones,South,Customer I,1,162.38,175.28
1288,2024-05-20,USB-C Hub,West,Customer G,9,956.5,9298.33
1525,2024-05-21,Standing Desk,North,Customer K,3,752.48,2439.84
1348,2024-05-21,Desk Lamp,East,Customer N,6,949.88,6163.6
1354,2024-05-22,Webcam HD,South,Customer D,6,120.81,784.4
1578,2024-05-23,USB-C Hub,East,Customer N,8,793.11,6870.27
1227,2024-05-25,Webcam HD,South,Customer H,4,497.99,2158.23
1344,2024-05-25,Wireless Mouse,East,Customer A,1,441.88,479.06
1556,2024-05-27,Noise Cancelling Headphones,North,Customer D,9,523.01,5106.29
1007,2024-05-27,Noise Cancelling Headphones,South,Customer E,1,99.05,107.52
1184,2024-05-28,Standing Desk,East,Customer I,6,541.19,3526.86
